lr,entropy_coef,gamma,intrinsic_coef,episodes,curriculum_threshold,avg_reward,trial_duration (s),trial_number,objective
0.00017173140478436477,0.015970628433254284,0.9793200785147952,0.09925364001959892,633,482,-4.1728045323447445,22.430599212646484,12,4.1728045323447445
3.0113992359537993e-05,0.026449524445455563,0.9866516545488739,0.12009072807039868,724,636,-4.580080048385559,21.574991941452026,46,4.580080048385559
0.0003538514223874156,0.029340681855893246,0.9848470434532091,0.17061985444262118,715,669,-4.602739357271034,504.4292883872986,19,4.602739357271034
0.00010428037331773894,0.0374953435559317,0.953118280193088,0.11871355378073205,947,865,-4.634088018442801,42.922274589538574,34,4.634088018442801
0.002162120364231102,0.015402533123734562,0.9686732566938994,0.06323426999509137,745,543,-4.669778391046394,9.842190742492676,15,4.669778391046394
1.8600028551437573e-05,0.007075018292876709,0.9556673544389618,0.17158983711311646,814,439,-4.745975485066175,54.49538826942444,7,4.745975485066175
0.00015281829026929876,0.028639472706026133,0.9988813228543836,0.138899995349995,407,163,-4.774541544354862,17.49584174156189,14,4.774541544354862
0.00035137015989423413,0.032299504213046885,0.9642823367402659,0.13253113308960712,662,534,-4.925110195399464,10.630388021469116,30,4.925110195399464
0.0002723007276794201,0.04997092405405789,0.9535009003026131,0.099195564923959,753,686,-4.934612501396867,32.273926973342896,36,4.934612501396867
7.394508211594688e-05,0.0456921686219563,0.9509727384121963,0.11122957500027827,606,554,-5.0220520398477495,13.616517782211304,31,5.0220520398477495
0.00392359301909629,0.04276733880989907,0.9764319512115733,0.10012592254733611,812,748,-5.155253010349497,9.410383939743042,40,5.155253010349497
2.2196339895343495e-05,0.04208669196560439,0.9656057760187169,0.15047683040393453,686,599,-5.1863283124033535,16.099872589111328,35,5.1863283124033535
0.0007931462473669625,0.020919335103066518,0.9983058966947576,0.07164104465088461,103,87,-5.240665439895233,3.164323568344116,11,5.240665439895233
4.807091983476391e-05,0.0437756286576369,0.954505392315327,0.08907892952237062,886,733,-5.29923713844676,16.10408067703247,32,5.29923713844676
0.007124825453936744,0.04006546639629511,0.9599801997890829,0.03927214932589224,283,278,-5.340500021928953,5.932319164276123,8,5.340500021928953
4.302464492808686e-05,0.04445880765904549,0.9559753017053225,0.12433526477574562,995,942,-5.441382510620444,21.226807594299316,24,5.441382510620444
3.426140958381952e-05,0.04904821882396411,0.9642847403061845,0.14943848987258526,979,326,-5.487408760718995,28.150309085845947,1,5.487408760718995
2.4449457244032627e-05,0.04602715138129004,0.9855293803523417,0.1651994032607612,933,826,-5.589515374697483,21.0964195728302,29,5.589515374697483
0.00014076206092571348,0.04766451156840908,0.9591745973100279,0.10616057584974528,994,983,-5.601683106393377,39.086119413375854,33,5.601683106393377
7.28594464793614e-05,0.044892441639315835,0.9620985849240721,0.12744605479793517,908,785,-5.602523529487958,15.210306406021118,25,5.602523529487958
0.0008533526034620566,0.009659644477959483,0.9726431166260525,0.11785485864997988,288,69,-5.617685058990253,31.761342525482178,2,5.617685058990253
0.07810344658113443,0.0413533326968449,0.9903755686119888,0.03215276188257698,456,452,-5.710722921813603,4.831633567810059,5,5.710722921813603
0.004694162597349341,0.003681542253125185,0.9908314715987697,0.014784193772694658,300,261,-5.834233340909955,6.643622875213623,6,5.834233340909955
1.2680480228005164e-05,0.030808679302906625,0.9703067737980697,0.04824780616941185,782,713,-5.861578058887002,30.513036251068115,41,5.861578058887002
0.00018947289692039388,0.023117651552243754,0.9500045011510285,0.1984028819728996,703,631,-5.973397340336476,21.276642084121704,10,5.973397340336476
6.98201213310385e-05,0.03425513049339849,0.9726633031521471,0.14559968016191205,900,898,-6.054032457870269,20.825506687164307,18,6.054032457870269
0.02634757320269533,0.041495421784414864,0.9844834707304327,0.02324335679988638,836,684,-6.129115496422552,8.134468793869019,9,6.129115496422552
0.00010794425415719553,0.016691812500190653,0.9885308927979831,0.1288800822836087,539,494,-6.201692153995536,14.546562910079956,47,6.201692153995536
0.017550422597512515,0.018063749399445654,0.9935773396749715,0.11198636496411478,684,619,-6.685040816564494,4.18607497215271,48,6.685040816564494
0.02023988957507704,0.034249528959819406,0.9676205653697928,0.021345937094271336,489,80,-6.756222149511131,4.975673198699951,3,6.756222149511131
0.0005763831357841402,0.04679401129812822,0.9793444796229036,0.11895834000293784,346,309,-11.569651396768561,22.321061849594116,39,11.569651396768561
